Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,277.519989,283.000000,206.000000,220.139999,220.139999,24100400
2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
2021-03-17,217.839996,231.470001,204.000000,209.809998,209.809998,16259300
2021-03-18,214.000000,218.880005,195.649994,201.750000,201.750000,11764900
2021-03-19,195.729996,227.000000,182.660004,200.270004,200.270004,24552100
2021-03-20,195.729996,227.000000,182.660004,200.270004,200.270004,24552100
2021-03-21,195.729996,227.000000,182.660004,200.270004,200.270004,24552100
2021-03-22,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
2021-03-23,197.500000,201.750000,177.550003,181.750000,181.750000,14429100
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
2021-03-25,123.489998,187.500000,116.900002,183.750000,183.750000,50962300
2021-03-26,197.679993,218.929993,163.259995,181.000000,181.000000,37371900
2021-03-27,197.679993,218.929993,163.259995,181.000000,181.000000,37371900
2021-03-28,197.679993,218.929993,163.259995,181.000000,181.000000,37371900
2021-03-29,180.750000,193.919998,173.509995,181.300003,181.300003,10042200
2021-03-30,187.500000,204.300003,182.000000,194.460007,194.460007,17094900
2021-03-31,197.500000,199.460007,187.110001,189.820007,189.820007,8393800
2021-04-01,193.360001,196.970001,183.600006,191.449997,191.449997,9303700
2021-04-02,193.360001,196.970001,183.600006,191.449997,191.449997,9303700
2021-04-03,193.360001,196.970001,183.600006,191.449997,191.449997,9303700
2021-04-04,193.360001,196.970001,183.600006,191.449997,191.449997,9303700
2021-04-05,171.000000,195.000000,164.809998,186.949997,186.949997,14070500
2021-04-06,185.210007,192.000000,183.559998,184.500000,184.500000,6218300
2021-04-07,183.220001,184.500000,176.110001,177.970001,177.970001,4768300
2021-04-08,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
2021-04-09,169.699997,171.580002,153.000000,158.360001,158.360001,9442000
